InstanceID	R_0	R_1	R_2	R_3	R_4	R_5	Class
1279	337.02859755840853	1469.9998667589418	228.2725164089639	363.99168223033126	869.1178495458523	1159.625788586575	0
102	230.53714843744174	1421.4603138091788	166.29059152207364	319.8727738678166	718.7070432618245	1062.5147882609908	0
2973	216.31378636052904	1367.2131111984168	158.78628317502356	342.5488285072596	1039.276740142399	1023.7805663578691	0
2578	403.30872780349165	1544.9117330460915	271.85706544540966	383.8270355587884	778.883283632123	1182.566229375128	0
1631	282.4823267739869	1123.7840175184417	193.88126656655712	376.966622601939	1378.9516745857431	829.9230723762656	0
3637	169.1428016995657	1127.6661570047422	103.45583431775351	318.87130774905654	917.0089593349583	910.8561426857651	0
3470	169.49277976512155	1270.9305163958625	221.11291613674973	315.6895076980443	982.9693657158637	1023.3350097669905	0
2474	346.1752117236421	1299.8336830058695	308.68730288800833	358.567099306943	615.8484552430577	1029.9780981921929	0
3740	284.21813576215067	1193.619899486642	198.36332461755887	391.82541515934133	1169.838273410409	927.9610188799386	0
616	173.480394247472	1452.1455329494584	225.1961750805223	358.33159752390117	527.0982281661425	1095.8492662981537	0
4142	393.02288970361883	1541.7943533377363	307.8840011777153	399.2672470244036	845.3713567260646	1201.1943769996747	0
155	232.90763885548014	1376.8755467359952	200.89692145107787	329.56663500153763	1269.1993999596668	1081.7838495721373	0
1278	338.04727426504894	1466.4980815314445	233.35374417668305	361.48133964275286	889.5298442284042	1164.9075185246145	0
3769	292.90936253881756	1071.881445832636	220.0278851399379	459.5033699507898	979.2214148919019	843.3354497435145	0
3742	435.9226786810637	531.4017837346817	391.4039087839813	436.2840480428977	560.5496231535271	528.0434291238302	1
3242	414.57785604845174	1227.1717707843193	220.39864577292548	383.11157436071625	1058.082997219071	973.0916106334814	0
3438	360.95652726438107	1492.5353601273785	261.6374916892782	381.2604877991673	955.5213958007313	1175.9376355126494	0
1028	363.65868965463085	1540.8790350508593	276.4055259908641	387.20885728868785	949.2704232861304	1206.4019160370722	0
3478	174.57514145274985	1343.0903213175534	227.07466235632623	333.5903625031444	998.1560673349076	1072.9464478100701	0
444	357.8916177916431	932.1335462683356	283.18168201060433	309.342713455681	476.7387745618474	733.7935173731321	0
4234	142.42781047453138	1423.251688257367	281.7485972796086	339.89518859509184	895.628596333215	1111.9325391388431	0
2266	217.5703301480981	1210.7249900962936	161.62051218489398	313.1850975234661	1263.2174849885396	982.6206344356915	0
47	179.4371134878648	1251.4254183317025	166.76254310479757	318.4289945006417	1309.3490283790488	995.4843508569711	0
3184	274.1173288168853	1339.0944108183705	149.55908952573145	356.37534601949216	713.8509658962457	1059.1898455130117	0
