R_0 R_1 R_2 Class
31.2000 23.2800 0.2400 0
31.4000 23.2600 0.2800 0
31.6000 23.2400 0.3200 0
31.8000 23.2200 0.3600 0
32.0000 23.2000 0.4000 0
30.2000 23.1700 0.4900 0
28.4000 23.1400 0.5800 0
26.6000 23.1100 0.6700 0
24.8000 23.0800 0.7600 0
23.0000 23.0500 0.8500 0
21.2000 23.0200 0.9400 0
19.4000 22.9900 1.0300 0
17.6000 22.9600 1.1200 0
15.8000 22.9300 1.2100 0
14.0000 22.9000 1.3000 0
13.5000 22.8800 1.2100 0
13.0000 22.8600 1.1200 0
12.5000 22.8400 1.0300 0
12.0000 22.8200 0.9400 0
11.5000 22.8000 0.8500 0
11.0000 22.7800 0.7600 0
10.5000 22.7600 0.6700 0
10.0000 22.7400 0.5800 0
9.5000 22.7200 0.4900 0
9.0000 22.7000 0.4000 0
8.1000 22.6900 0.4900 0
7.2000 22.6800 0.5800 0
6.3000 22.6700 0.6700 0
5.4000 22.6600 0.7600 0
4.5000 22.6500 0.8500 0
3.6000 22.6400 0.9400 0
2.7000 22.6300 1.0300 0
1.8000 22.6200 1.1200 0
0.9000 22.6100 1.2100 0
0.0000 22.6000 1.3000 0
0.0000 22.5800 1.2100 0
0.0000 22.5600 1.1200 0
0.0000 22.5400 1.0300 0
0.0000 22.5200 0.9400 0
0.0000 22.5000 0.8500 0
0.0000 22.4800 0.7600 0
0.0000 22.4600 0.6700 0
0.0000 22.4400 0.5800 0
0.0000 22.4200 0.4900 0
0.0000 22.4000 0.4000 0
0.0000 22.3900 0.4000 0
0.0000 22.3800 0.4000 0
0.0000 22.3700 0.4000 0
0.0000 22.3600 0.4000 0
0.0000 22.3500 0.4000 0
0.0000 22.3400 0.4000 0
0.0000 22.3300 0.4000 0
0.0000 22.3200 0.4000 0
0.0000 22.3100 0.4000 0
0.0000 22.3000 0.4000 0
0.0000 22.2900 0.4000 0
0.0000 22.2800 0.4000 0
0.0000 22.2700 0.4000 0
0.0000 22.2600 0.4000 0
0.0000 22.2500 0.4000 0
0.0000 22.2400 0.4000 0
0.0000 22.2300 0.4000 0
0.0000 22.2200 0.4000 0
0.0000 22.2100 0.4000 0
0.0000 22.2000 0.4000 0
0.0000 22.1900 0.3600 0
0.0000 22.1800 0.3200 0
0.0000 22.1700 0.2800 0
0.0000 22.1600 0.2400 0
0.0000 22.1500 0.2000 0
0.0000 22.1400 0.1600 0
0.0000 22.1300 0.1200 0
0.0000 22.1200 0.0800 0
0.0000 22.1100 0.0400 0
0.0000 22.1000 0.0000 0
0.0000 22.0800 0.0000 0
0.0000 22.0600 0.0000 0
0.0000 22.0400 0.0000 0
0.0000 22.0200 0.0000 0
0.0000 22.0000 0.0000 0
0.0000 21.9800 0.0000 0
0.0000 21.9600 0.0000 0
0.0000 21.9400 0.0000 0
0.0000 21.9200 0.0000 0
0.0000 21.9000 0.0000 0
0.0000 21.8800 0.0400 0
0.0000 21.8600 0.0800 0
0.0000 21.8400 0.1200 0
0.0000 21.8200 0.1600 0
0.0000 21.8000 0.2000 0
0.0000 21.7800 0.2400 0
0.0000 21.7600 0.2800 0
0.0000 21.7400 0.3200 0
0.0000 21.7200 0.3600 0
0.0000 21.7000 0.4000 0
0.0000 21.7000 0.4500 0
0.0000 21.7000 0.5000 0
0.0000 21.7000 0.5500 0
0.0000 21.7000 0.6000 0
0.0000 21.7000 0.6500 0
0.0000 21.7000 0.7000 0
0.0000 21.7000 0.7500 0
0.0000 21.7000 0.8000 0
0.0000 21.7000 0.8500 0
0.0000 21.7000 0.9000 0
0.0000 21.6900 0.8100 0
0.0000 21.6800 0.7200 0
0.0000 21.6700 0.6300 0
0.0000 21.6600 0.5400 0
0.0000 21.6500 0.4500 0
0.0000 21.6400 0.3600 0
0.0000 21.6300 0.2700 0
0.0000 21.6200 0.1800 0
0.0000 21.6100 0.0900 0
0.0000 21.6000 0.0000 0
0.0000 21.6100 0.0000 0
0.0000 21.6200 0.0000 0
0.0000 21.6300 0.0000 0
0.0000 21.6400 0.0000 0
0.0000 21.6500 0.0000 0
0.0000 21.6600 0.0000 0
0.0000 21.6700 0.0000 0
0.0000 21.6800 0.0000 0
0.0000 21.6900 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.7000 0.0000 0
0.0000 21.6900 0.0000 0
0.0000 21.6800 0.0000 0
0.0000 21.6700 0.0000 0
0.0000 21.6600 0.0000 0
0.0000 21.6500 0.0000 0
0.0000 21.6400 0.0000 0
0.0000 21.6300 0.0000 0
0.0000 21.6200 0.0000 0
0.0000 21.6100 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.6000 0.0000 0
0.0000 21.5600 0.0400 0
0.0000 21.5200 0.0800 0
0.0000 21.4800 0.1200 0
0.0000 21.4400 0.1600 0
0.0000 21.4000 0.2000 0
0.0000 21.3600 0.2400 0
0.0000 21.3200 0.2800 0
0.0000 21.2800 0.3200 0
0.0000 21.2400 0.3600 0
0.0000 21.2000 0.4000 0
0.0000 21.1200 0.6300 0
0.0000 21.0400 0.8600 0
0.0000 20.9600 1.0900 0
0.0000 20.8800 1.3200 0
0.0000 20.8000 1.5500 0
0.0000 20.7200 1.7800 0
0.0000 20.6400 2.0100 0
0.0000 20.5600 2.2400 0
0.0000 20.4800 2.4700 0
0.0000 20.4000 2.7000 0
0.0000 20.3000 2.4300 0
0.0000 20.2000 2.1600 0
0.0000 20.1000 1.8900 0
0.0000 20.0000 1.6200 0
0.0000 19.9000 1.3500 0
0.0000 19.8000 1.0800 0
0.0000 19.7000 0.8100 0
0.0000 19.6000 0.5400 0
0.0000 19.5000 0.2700 0
6.0000 19.3000 0.0000 0
7.0000 19.2900 0.0000 0
8.0000 19.2800 0.0000 0
9.0000 19.2700 0.0000 0
10.0000 19.2600 0.0000 0
11.0000 19.2500 0.0000 0
12.0000 19.2400 0.0000 0
13.0000 19.2300 0.0000 0
14.0000 19.2200 0.0000 0
15.0000 19.2100 0.0000 0
