InstanceID	R_0	R_1	R_2	R_3	Class
15568	285.1408544344661	5309.282553380499	1154.3544888917381	813.9385907385771	0
7834	864.9296684068942	7261.885617437633	1198.2655966383256	823.9475973250615	0
14130	283.36846581028533	6003.675303005182	1209.0880330334733	818.9344113044084	0
13411	284.81090653395376	4497.522942293993	1191.6016435656645	813.977693362161	0
16571	298.7674922837263	7152.7067790310275	908.9958574110257	825.0369012653873	0
24334	695.1376881076732	6980.508473990898	1221.8271238701473	818.6345256486561	0
14610	773.4979926011839	7255.764953580909	1197.8214736173534	1052.2521241499555	0
13126	286.1246226717748	4094.7526899654904	1199.3967437874694	812.1104811998066	0
26997	718.4285656603996	7241.455243494804	906.5206168510398	915.9629302442631	0
16003	112.62179714167577	337.98463540832546	183.4422547830685	219.3680141333674	1
29464	285.7194742256332	4763.113326327518	919.7229182333049	1007.8498517758247	0
12206	553.5512930392523	5367.66975672093	1030.2581386232096	1010.0362524148445	0
13875	836.5270228584677	4686.477525650796	730.146525367218	1050.747339431242	0
22398	264.3261448309515	6659.35046887847	940.1549713431411	819.7299909840793	0
5143	386.1628245860039	4722.430300395307	1168.9254902759517	914.2456311727454	0
4683	246.02350796543118	6696.368481936625	1165.4567910876285	820.8127584133326	0
32957	868.1584353172192	7217.205566057995	1214.262782335793	995.8453267973417	0
13920	293.29386998473643	3859.070010770667	894.0195263909682	809.9456048671445	0
30999	598.6623618760414	6716.020352679485	900.3592096994532	862.4014987236883	0
29527	273.16609648500224	6276.082493905459	903.5866394615041	1058.075345672796	0
7187	855.5844300588536	7125.959758888307	1197.6267646271183	821.9684884565892	0
32285	349.0197302878081	3021.84813415486	1166.5837717615534	1046.6537120446685	0
18205	835.5391246826439	7296.528574020159	546.8144611301251	930.4536124196536	0
29022	264.37442561498517	6644.1365081131435	572.9907616193	822.021540302611	0
28008	226.5088439461632	7002.095590422984	738.7575229634092	932.4758096331415	0
4829	256.9354597163473	7180.336007859543	940.4438474805513	827.0748746620408	0
27239	161.50656461472389	675.3599062595795	306.4076936900155	342.14961579079335	1
6753	851.224277868856	7284.130723869063	984.9931099188207	928.8975237691925	0
36154	295.7608210707328	4221.353851030364	1081.3949295832479	914.00934632354	0
30651	836.3572753825325	5780.727809049112	1013.9873321836598	817.514694157164	0
24800	417.4877878351754	4705.199821081511	1149.1650869670814	982.3296866651071	0
30783	600.3194733958068	5232.733206817048	1150.4025806382833	984.4638732246794	0
7490	239.44178027530307	7252.21891346797	886.4388745176514	827.702813072301	0
26225	293.784881920606	3967.983241826731	1197.1861538966762	915.1578314334603	0
1941	714.4641307667448	7161.420613340029	1171.3487911115164	822.7991469022536	0
22117	302.0908324435162	7048.784734694735	727.3876249019116	825.7996875080665	0
3405	286.7390076638212	4182.521627129516	915.8201151630277	1044.9865457706376	0
18471	600.4190074623913	6735.313789911167	888.6338280265736	1060.8574795640304	0
27925	840.5473995532338	7209.31912974414	972.8712197694758	726.8719170841085	0
6053	255.95132385754783	7258.373418126947	868.2530636054015	827.8610992821995	0
1860	839.8952733774297	4623.823446108487	1147.9588231731648	1035.1197006627137	0
24310	740.4321079394899	4878.341507132592	1084.223869658359	1011.2631830512596	0
9661	301.1898380976594	6501.353268734118	796.4227570612924	820.9060155511698	0
18861	713.4775150554975	7013.927246836343	773.3619997497464	1051.1719548153608	0
17431	272.2875224288284	7132.753901960851	913.833023605382	824.9775500555579	0
33125	255.0100500151369	7271.934204040444	784.4102211384778	826.9944035269255	0
10919	771.7274831167874	6294.691781906734	1214.5170326002633	914.9529411905776	0
4949	864.1192896637644	7042.151011848341	1201.1589209559527	928.4850124449016	0
22313	786.0106219860938	6390.902563647137	992.9874661993637	920.9595039784214	0
1816	289.07257938158074	6700.576882351314	794.629553291949	821.1324595273708	0
22230	855.1680580684632	7261.326215645346	1195.2339686799855	927.6063001968826	0
