R_0 R_1 R_2 Class
89.6000 25.3600 1.3000 0
91.4000 25.3400 1.3000 0
93.2000 25.3200 1.3000 0
95.0000 25.3000 1.3000 0
96.8000 25.2800 1.3000 0
98.6000 25.2600 1.3000 0
100.4000 25.2400 1.3000 0
102.2000 25.2200 1.3000 0
104.0000 25.2000 1.3000 0
101.4000 25.1900 1.3500 0
98.8000 25.1800 1.4000 0
96.2000 25.1700 1.4500 0
93.6000 25.1600 1.5000 0
91.0000 25.1500 1.5500 0
88.4000 25.1400 1.6000 0
85.8000 25.1300 1.6500 0
83.2000 25.1200 1.7000 0
80.6000 25.1100 1.7500 0
78.0000 25.1000 1.8000 0
81.0000 25.0800 1.8000 0
84.0000 25.0600 1.8000 0
87.0000 25.0400 1.8000 0
90.0000 25.0200 1.8000 0
93.0000 25.0000 1.8000 0
96.0000 24.9800 1.8000 0
99.0000 24.9600 1.8000 0
102.0000 24.9400 1.8000 0
105.0000 24.9200 1.8000 0
108.0000 24.9000 1.8000 0
111.1000 24.9000 1.8000 0
114.2000 24.9000 1.8000 0
117.3000 24.9000 1.8000 0
120.4000 24.9000 1.8000 0
123.5000 24.9000 1.8000 0
126.6000 24.9000 1.8000 0
129.7000 24.9000 1.8000 0
132.8000 24.9000 1.8000 0
135.9000 24.9000 1.8000 0
139.0000 24.9000 1.8000 0
135.9000 24.8900 1.8000 0
132.8000 24.8800 1.8000 0
129.7000 24.8700 1.8000 0
126.6000 24.8600 1.8000 0
123.5000 24.8500 1.8000 0
120.4000 24.8400 1.8000 0
117.3000 24.8300 1.8000 0
114.2000 24.8200 1.8000 0
111.1000 24.8100 1.8000 0
108.0000 24.8000 1.8000 0
103.4000 24.7800 1.8900 0
98.8000 24.7600 1.9800 0
94.2000 24.7400 2.0700 0
89.6000 24.7200 2.1600 0
85.0000 24.7000 2.2500 0
80.4000 24.6800 2.3400 0
75.8000 24.6600 2.4300 0
71.2000 24.6400 2.5200 0
66.6000 24.6200 2.6100 0
62.0000 24.6000 2.7000 0
58.9000 24.5700 2.5600 0
55.8000 24.5400 2.4200 0
52.7000 24.5100 2.2800 0
49.6000 24.4800 2.1400 0
46.5000 24.4500 2.0000 0
43.4000 24.4200 1.8600 0
40.3000 24.3900 1.7200 0
37.2000 24.3600 1.5800 0
34.1000 24.3300 1.4400 0
31.0000 24.3000 1.3000 0
29.5000 24.2700 1.3500 0
28.0000 24.2400 1.4000 0
26.5000 24.2100 1.4500 0
25.0000 24.1800 1.5000 0
23.5000 24.1500 1.5500 0
22.0000 24.1200 1.6000 0
20.5000 24.0900 1.6500 0
19.0000 24.0600 1.7000 0
17.5000 24.0300 1.7500 0
16.0000 24.0000 1.8000 0
16.3000 23.9800 1.8400 0
16.6000 23.9600 1.8800 0
16.9000 23.9400 1.9200 0
17.2000 23.9200 1.9600 0
17.5000 23.9000 2.0000 0
17.8000 23.8800 2.0400 0
18.1000 23.8600 2.0800 0
18.4000 23.8400 2.1200 0
18.7000 23.8200 2.1600 0
19.0000 23.8000 2.2000 0
18.0000 23.7800 2.1600 0
17.0000 23.7600 2.1200 0
16.0000 23.7400 2.0800 0
15.0000 23.7200 2.0400 0
14.0000 23.7000 2.0000 0
13.0000 23.6800 1.9600 0
12.0000 23.6600 1.9200 0
11.0000 23.6400 1.8800 0
10.0000 23.6200 1.8400 0
9.0000 23.6000 1.8000 0
8.1000 23.6000 1.8900 0
7.2000 23.6000 1.9800 0
6.3000 23.6000 2.0700 0
5.4000 23.6000 2.1600 0
4.5000 23.6000 2.2500 0
3.6000 23.6000 2.3400 0
2.7000 23.6000 2.4300 0
1.8000 23.6000 2.5200 0
0.9000 23.6000 2.6100 0
0.0000 23.6000 2.7000 0
0.0000 23.5900 2.6100 0
0.0000 23.5800 2.5200 0
0.0000 23.5700 2.4300 0
0.0000 23.5600 2.3400 0
0.0000 23.5500 2.2500 0
0.0000 23.5400 2.1600 0
0.0000 23.5300 2.0700 0
0.0000 23.5200 1.9800 0
0.0000 23.5100 1.8900 0
